(3072, 1792, 1280),
(6400, 6656, 256),
(6912, 768, 256),
(2304, 3840, 1024),
(2304, 768, 256),
(5888, 6912, 256),
(512, 3072, 256),
(2304, 1024, 256),
(1024, 3328, 256),
(3328, 512, 256),
(1280, 2048, 256),
(4608, 512, 256),
(5888, 7936, 256),
(2816, 1280, 256),
(2816, 1792, 256),
(768, 1280, 512),
(1792, 7424, 768),
(5888, 6912, 512),
(1280, 5888, 256),
(7936, 1024, 1792),
(5632, 1536, 256),
(6656, 1280, 256),
(4864, 7936, 256),
(7168, 5888, 768),
(7424, 6912, 256),
(2304, 1280, 512),
(3584, 4352, 256),
(1024, 5632, 512),
(3584, 1024, 512),
(6144, 6912, 1024),
(4096, 3584, 256),
(5120, 1024, 3072),
(7680, 5632, 512),
(7936, 1792, 256),
(7168, 5632, 1024),
(2304, 256, 2048),
(1024, 5120, 512),
(512, 2304, 6400),
(4608, 512, 7424),
(512, 2816, 3072),
(512, 2816, 1792),
(256, 3328, 1792),
(256, 4864, 6912),
(1024, 256, 768),
(512, 3072, 4096),
(512, 2304, 5888),
(256, 4864, 1280),
(256, 5376, 4864),
(256, 4608, 4608),
(7424, 6656, 512),
(256, 5120, 4608),
(1280, 256, 2048),
(768, 512, 1792),
(256, 5888, 3840),
(512, 1024, 1280),
(256, 3584, 4352),
(256, 3072, 4864),
(512, 3840, 6656),
(256, 2816, 6144),
(256, 1024, 3584),
(512, 512, 3328),
(1792, 512, 3584),
(1280, 512, 3328),
(256, 2048, 5632),
(256, 5376, 6656),
(1280, 512, 2048),
(768, 768, 1280),
(1792, 512, 4608),
(1536, 768, 3840),
(768, 2304, 8192),
(2304, 768, 6912),
(256, 7424, 4608),
(1792, 768, 2304),
(2304, 768, 3072),
(1280, 1024, 2560),
(1536, 1024, 5120),
(512, 3840, 3584),
(2304, 768, 4608),
(512, 3840, 1536),
(1024, 1536, 2816),
(768, 2048, 4096),
(256, 6912, 2304),
(1280, 1280, 2560),
(1280, 1280, 7936),
